wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
aab,__1,,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,__
aar,aiw,aari1239,Aari,6.0,36.5833333333,South Omotic,Afro-Asiatic,Omotic
aba,aau,abau1245,Abau,-4.0,141.25,Upper Sepik,Sepik,__
abb,shu,chad1249,Arabic (Abbéché Chad),13.8333333333,20.8333333333,Semitic,Afro-Asiatic,__
abd,abi,abid1235,Abidji,5.66666666667,-4.58333333333,Kwa,Niger-Congo,__
abe,apc,nort3139,Arabic (Beirut),33.9166666667,35.5,Semitic,Afro-Asiatic,__
abh,abv,baha1259,Arabic (Bahrain),26.0,50.5,Semitic,Afro-Asiatic,__
abi,axb,abip1241,Abipón,-29.0,-61.0,Guaicuruan,Guaicuruan,__
abk,abk,abkh1244,Abkhaz,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,__
abm,akz,alab1237,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,__
abn,ard,arab1267,Arabana,-28.25,136.25,Pama-Nyungan,Australian,__
abo,arv,arbo1245,Arbore,5.0,36.75,Eastern Cushitic,Afro-Asiatic,Cushitic
abu,kgr,abun1252,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,__
abv,abz,abui1241,Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,__
abw,abe,west2630,Abenaki (Western),44.0,-72.25,Algonquian,Algic,__
abz,abq,abaz1241,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,__
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,__
acg,aca,acha1250,Achagua,4.41666666667,-72.25,Northern Arawakan,Arawakan,__
ach,guq,ache1246,Aché,-25.25,-55.1666666667,Tupi-Guaraní,Tupian,__
aci,acc,quic1275,Achí,15.1666666667,-90.5,Mayan,Mayan,__
acl,ach,acol1236,Acholi,3.0,32.6666666667,Nilotic,Nilo-Saharan,Eastern Sudanic
acm,acv,achu1247,Achumawi,41.5,-121.0,Palaihnihan,Hokan,__
acn,acn,acha1249,Achang,25.0,98.5,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
aco,kjq,west2632,Acoma,34.9166666667,-107.583333333,Keresan,Keresan,__
acu,acu,achu1248,Achuar,-2.66667,-76.0,Jivaroan,Jivaroan,__
ada,ads,adam1238,Adamorobe Sign Language,5.83333333333,-0.166666666667,Sign Languages,other,__
adg,adn,adan1251,Adang,-8.2,124.0,Greater Alor,Timor-Alor-Pantar,__
adi,adj,adio1239,Adioukrou,5.41666666667,-4.58333333333,Kwa,Niger-Congo,__
adk,ano,ando1256,Andoke,-0.666666666667,-72.0,Andoke,Andoke,__
adn,adt,adny1235,Adynyamathanha,-30.5,139.5,Pama-Nyungan,Australian,__
adt,ady,adyg1241,Adyghe (Temirgoy),45.2166666667,39.7,Northwest Caucasian,Northwest Caucasian,__
ady,ady,adyg1241,Adyghe (Abzakh),45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,__
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
aea,ale,aleu1260,Aleut (Eastern),54.75,-164.0,Aleut,Eskimo-Aleut,__
aeg,arz,egyp1253,Arabic (Egyptian),30.0,31.0,Semitic,Afro-Asiatic,__
