"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Manx","Celtic","Indo-European","__","54.1666666667","-4.5","'glv'"
"Munzumbo","Ubangi","Niger-Congo","Adamawa-Ubangi","3","18.4166666667","'moj'"
"Newar (Dolakha)","Bodic","Sino-Tibetan","Tibeto-Burman","27.3333333333","86","'new'"
"Saanich","Central Salish","Salishan","__","48.5833333333","-123.416666667","'str'"
"Miwok (Plains)","Miwok","Penutian","Utian","38","-121","'pmw'"
"Aulua","Oceanic","Austronesian","Eastern Malayo-Polynesian","-16.3333333333","167.666666667","'aul'"
"Mauritian Creole","Creoles and Pidgins","other","__","-20.3333333333","57.5","'mfe'"
"Mawchi","Indic","Indo-European","__","21.3333333333","73.6666666667","'mke'"
"Manobo (Western Bukidnon)","Southern Philippines","Austronesian","__","7.66666666667","124.75","'mbb'"
"Auslan","Sign Languages","other","__","-30","145","'asf'"
"Mwera","Bantoid","Niger-Congo","Benue-Congo","-9","39","'mwe'"
"Auyana","Eastern Highlands","Trans-New Guinea","__","-6.5","145.75","'auy'"
"Mwotlap","Oceanic","Austronesian","Eastern Malayo-Polynesian","-13.5833333333","167.583333333","'mlv'"
"Mandar","Sulawesi","Austronesian","__","-3.41666666667","119.083333333","'mdr'"
"Miwok (Lake)","Miwok","Penutian","Utian","38.9166666667","-122.666666667","'lmw'"
"Popoloca (San Vicente Coyotepec)","Popolocan","Oto-Manguean","__","18.25","-97.8333333333","'pbf'"
"Mansi","Ugric","Uralic","Finno-Ugric","62","62","'mns'"
"Mentawai","Sumatra","Austronesian","__","-1.5","99","'mwv'"
"Mun","Hmong-Mien","Hmong-Mien","__","19","110","'mji'"
"Paita","Oceanic","Austronesian","Eastern Malayo-Polynesian","-22.0833333333","166.5","'duf'"
"Port Sandwich","Oceanic","Austronesian","Eastern Malayo-Polynesian","-16.5","167.75","'psw'"
"Malgwa","Biu-Mandara","Afro-Asiatic","Chadic","11.5","13.75","'mfi'"
"Comanche","Numic","Uto-Aztecan","__","33.5","-101.5","'com'"
"Camling","Bodic","Sino-Tibetan","Tibeto-Burman","27","86.6666666667","'rab'"
"Chemakum","Chimakuan","Chimakuan","__","48.0833333333","-122.916666667","'xch'"
"Chemehuevi","Numic","Uto-Aztecan","__","34.3333333333","-115.166666667","'ute'"
"Cham (Eastern)","Malayic","Austronesian","__","11.3333333333","108.5","'cjm'"
"Comecrudo","Comecrudan","Comecrudan","__","25.8333333333","-99","'xcm'"
"Chimila","Chimila","Chibchan","__","10","-74","'cbg'"
"Chontal Maya","Mayan","Mayan","__","18.1666666667","-92.5833333333","'chf'"
"Comox","Central Salish","Salishan","__","50.1666666667","-125","'coo'"
"Chin (Mara)","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","23","93.1666666667","'mrh'"
"Mono (in United States)","Numic","Uto-Aztecan","__","38","-119","'mnr'"
"Muna","Sulawesi","Austronesian","__","-5","122.5","'mnb'"
"Nenets","Samoyedic","Uralic","__","69","72","'yrk'"
"Nelemwa","Oceanic","Austronesian","Eastern Malayo-Polynesian","-20.25","164.083333333","'nee'"
"Manchu","Tungusic","Altaic","__","49.5","127.5","'mnc'"
"Kulamanen","Southern Philippines","Austronesian","__","7.75","125","'mbt'"
"Kutai","Malayic","Austronesian","__","-0.333333333333","116.666666667","'vkt'"
"Kuvi","South-Central Dravidian","Dravidian","__","18.75","82.6666666667","'kxv'"
"Kuuku Ya'u","Pama-Nyungan","Australian","__","-12.5833333333","143.083333333","'kuy'"
"Kutenai","Kutenai","Kutenai","__","49.5","-116","'kut'"
"Kusunda","Kusunda","Kusunda","__","28","84.6666666667","'kgg'"
"Kurukh","Northern Dravidian","Dravidian","__","22.8333333333","85.5","'kru'"
"Kumyk","Turkic","Altaic","__","43","47.3333333333","'kum'"
"Maidu (Northeast)","Maiduan","Penutian","__","40","-120.666666667","'nmu'"
"Kuot","Kuot","Kuot","__","-3.05","151.5","'kto'"
"Kuna","Kuna","Chibchan","__","8","-77.3333333333","'kvn'"
"Kumauni","Indic","Indo-European","__","30","80","'kfy'"
"Ainu","Ainu","Ainu","__","43","143","'ain'"
"Kuk","Nilotic","Nilo-Saharan","Eastern Sudanic","5.83333333333","31.6666666667","'bfa'"
"Kui (in India)","South-Central Dravidian","Dravidian","__","20","83.5","'kxu'"
"Neyo","Kru","Niger-Congo","__","5","-6","'ney'"
"Kunming","Chinese","Sino-Tibetan","__","25","102.75","'cmn'"
"Newari (Kathmandu)","Bodic","Sino-Tibetan","Tibeto-Burman","27.6666666667","85.5","'new'"
"Patpatar","Oceanic","Austronesian","Eastern Malayo-Polynesian","-3.76666666667","152.5","'gfk'"
"Kualan","Land Dayak","Austronesian","__","-0.416666666667","110.416666667","'_32'"
"Me'en","Surmic","Nilo-Saharan","Eastern Sudanic","5","37","'mym'"
"Meyah","East Bird's Head","East Bird's Head","__","-1.16666666667","133.5","'mej'"
"Aikan","Arawakan","Arawakan","__","-12.6666666667","-60.6666666667","'tba'"
"Melayu Betawi","Creoles and Pidgins","other","__","-6.5","107","'bew'"
"Manem","Border","Border","__","-3","140.833333333","'jet'"
"Melanau","Northwest Malayo-Polynesian","Austronesian","__","2.5","111.5","'mel'"
"Menomini","Algonquian","Algic","__","45.5","-88.3333333333","'mez'"
